Image	Name	Object.ID	Class	Parent	ROI	Centroid.X.µm	Centroid.Y.µm	Num.Detections	Num.Other..base.	Num.Stroma..base.	Num.Tumour_cells..base.	Num.Other..Negative	Num.Other..Positive	Num.Stroma..Negative	Num.Stroma..Positive	Num.Tumour_cells..Negative	Num.Tumour_cells..Positive	Stroma..Positive..	Other..Positive..	Tumour_cells..Positive..	Other...Stroma...Tumour_cells..Positive..	Area.µm.2	Perimeter.µm	block
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumor	da6c84c0-699c-419f-9d03-c27e2764be14	Tumor	Image	Rectangle	6394.8	12232	4888	372	979	3537	341	31	832	147	2000	1537	15.02	8.333	43.45	35.09	1e+06	4000	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumor	af0aabc6-3e94-432e-bc4d-3b332fb0989d	Tumor	Image	Rectangle	6289.3	13402.4	4544	345	931	3268	320	25	823	108	1891	1377	11.6	7.246	42.14	33.23	1e+06	4000	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumor	0acbf9c1-219e-4512-bee6-85103bdcfc40	Tumor	Image	Rectangle	7825.6	14385.8	4140	296	872	2972	249	47	780	92	1989	983	10.55	15.88	33.08	27.1	1e+06	4000	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumor	b44701e4-2b7b-4f66-be68-1484d1203109	Tumor	Image	Rectangle	8255.7	11628.4	4736	367	889	3480	307	60	724	165	2226	1254	18.56	16.35	36.03	31.23	1e+06	4000	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumor	26d48a7a-ab43-442e-aa78-5f8dfbfb2c93	Tumor	Image	Rectangle	9412.7	15025.7	3818	608	903	2307	529	79	720	183	1351	956	20.27	12.99	41.44	31.9	1e+06	4000	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumor	fca69822-aa5e-4065-ba1d-b82de70f5d94	Tumor	Image	Rectangle	10071.1	13443.7	5005	462	1047	3496	389	73	836	211	2334	1162	20.15	15.8	33.24	28.89	1e+06	4000	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumor	e00498ad-e012-4c44-930d-95e92ac0124a	Tumor	Image	Rectangle	9430.8	11866	5401	603	972	3826	500	103	764	208	2571	1255	21.4	17.08	32.8	28.99	1e+06	4000	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	9a08f799-2fcd-4bff-bc9e-c85c921480cf	Stroma	Image	Polygon	7590.8	14375.3	2	0	2	0	0	0	2	0	0	0	0	NA	NA	0	621.04	112.62	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	513dd1bd-54a1-4a11-bb5f-c89e784829e7	Stroma	Image	Polygon	7573.4	14523.1	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	386.61	77.19	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	aa08aad4-5206-4845-b687-471bd811ffea	Stroma	Image	Polygon	7520.8	14495.5	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	371.92	75.49	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	b143fcda-1445-4e58-a73f-72f51a916305	Tumour_cells	Image	Polygon	7596.1	14551.6	3	0	0	3	0	0	0	0	3	0	NA	NA	0	0	329.49	69.69	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	394f3098-3abb-4b6c-a2a9-3e453679803f	Tumour_cells	Image	Polygon	7639.4	14592.2	5	0	0	5	0	0	0	0	2	3	NA	NA	60	60	411.7	82.59	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	6f3e3b36-8c9e-45a3-84f6-f8bb1e637503	Tumour_cells	Image	Polygon	7838	14643.7	4	0	0	4	0	0	0	0	1	3	NA	NA	75	75	298.93	65.32	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Other	698da7ce-a5bf-4921-9f34-31cdbf1ba882	Other	Image	Geometry	6441.2	13811.5	6	6	0	0	6	0	0	0	0	0	NA	0	NA	0	566.77	156.17	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	8eaa94e2-bdea-4d21-823d-5a5795d7ab96	Stroma	Image	Polygon	6510	13822.4	2	0	2	0	0	0	2	0	0	0	0	NA	NA	0	147.25	46.4	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	b6546179-c172-4e8d-8c25-ed24bbe3c277	Stroma	Image	Polygon	6497	13846	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	121.14	41.43	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Other	558b713a-b2de-4d31-a566-111a3aa1cc81	Other	Image	Polygon	6373.2	13320.6	1	1	0	0	1	0	0	0	0	0	NA	0	NA	0	106.77	45.36	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	2ffe6a2c-4962-4a8f-b46e-84d9dc8630b0	Stroma	Image	Polygon	6285.5	12060	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	193.35	54.23	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	c283526a-d2ff-4f07-ac70-ace3b6c03d75	Stroma	Image	Polygon	6158.1	12122.5	2	0	2	0	0	0	2	0	0	0	0	NA	NA	0	373.3	75.56	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	1f3b0d2d-b789-49a5-a07c-2960fcf6ff37	Stroma	Image	Polygon	6210	12184.5	2	0	2	0	0	0	2	0	0	0	0	NA	NA	0	381.45	76.57	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	669f3723-8475-4cc3-a584-27f75f263ae6	Stroma	Image	Polygon	6409.4	11861.6	4	0	4	0	0	0	1	3	0	0	75	NA	NA	75	707	123.4	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	3070526a-9366-40c9-bd9c-02bd265f25f3	Tumour_cells	Image	Polygon	6730.3	12158.3	2	0	0	2	0	0	0	0	2	0	NA	NA	0	0	282.45	63.5	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	b3f526c6-84dc-4671-8b17-73c781ad8b83	Tumour_cells	Image	Polygon	6701.6	12121.4	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	242.03	57.41	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	9f147dc1-7ca2-4ffe-bcf3-7857ad363690	Tumour_cells	Image	Polygon	8199.3	11461.4	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	128.87	43.02	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	75463b28-cf42-45bd-8d1a-7c966401ec2e	Tumour_cells	Image	Polygon	8154.4	11415.5	5	0	0	5	0	0	0	0	5	0	NA	NA	0	0	506.93	81.94	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	5032f964-5793-44f5-b353-47eb59c7d8ff	Tumour_cells	Image	Polygon	9587.4	13856.5	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	341.2	67.89	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	b3e57a10-d98c-4057-9481-fd3b412f0e43	Tumour_cells	Image	Polygon	9581.8	13847.2	2	0	0	2	0	0	0	0	2	0	NA	NA	0	0	341.2	67.89	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	3505b3a0-db58-41fa-bbfc-cadf165534c2	Stroma	Image	Polygon	10156.7	13675.2	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	113.3	39.71	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	a16858b1-e8e3-4931-aaa4-d9d23a5ca118	Stroma	Image	Polygon	10153.8	13690.1	3	0	3	0	0	0	3	0	0	0	0	NA	NA	0	761.22	99.28	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Other	42fc0a63-4793-4aec-80bd-958b8245e3af	Other	Image	Polygon	9567.8	15343	2	2	0	0	2	0	0	0	0	0	NA	0	NA	0	446.58	86.03	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Other	7c9c76cb-765b-4a5a-b2f4-f8483b6e7925	Other	Image	Polygon	9569.6	15197.5	1	1	0	0	1	0	0	0	0	0	NA	0	NA	0	323.92	68.9	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Other	1aabeb72-c111-44fe-908b-3a69ad2d684c	Other	Image	Polygon	9418.7	15513.5	4	4	0	0	4	0	0	0	0	0	NA	0	NA	0	244.54	66.44	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Other	d7d4f576-c907-4f6f-ac81-71b1771b5f47	Other	Image	Polygon	9344.2	15448.5	2	2	0	0	2	0	0	0	0	0	NA	0	NA	0	146.68	58.21	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	1766aea6-d64d-426a-b39a-ae5f0418383b	Tumour_cells	Image	Polygon	7710.2	14026.7	1	0	0	1	0	0	0	0	0	1	NA	NA	100	100	155.25	48.17	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Tumour_cells	1039a690-d8ad-498e-9a8c-758e1bf7c914	Tumour_cells	Image	Polygon	7768.8	14143	1	0	0	1	0	0	0	0	0	1	NA	NA	100	100	155.25	48.17	BA010
holstf_HF007_BA010_Ki67_Clinical.tif - Series 0	Stroma	b1eb5a0b-df3a-44d7-99b6-f8023e740c83	Stroma	Image	Polygon	6313.3	13519.4	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	32.43	24.95	BA010
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	2e1b88cf-5f5b-46de-b086-2245df5a7f27	Tumor	Image	Rectangle	21905.8	22461.5	6043	144	524	5375	47	97	458	66	2967	2408	12.6	67.36	44.8	42.55	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	5c9b8491-eecc-4fcc-b891-1bbbe5fa5fd9	Tumor	Image	Rectangle	22513.6	18559.7	6115	138	724	5253	55	83	621	103	3262	1991	14.23	60.14	37.9	35.6	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	0ca77791-ea65-4c1b-bf83-f7d5136f0842	Tumor	Image	Rectangle	23527.3	14226.8	5381	68	802	4511	41	27	692	110	2623	1888	13.72	39.71	41.85	37.63	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	b71e65a0-edb7-4264-a6c6-f8f402208f40	Tumor	Image	Rectangle	21373.4	11135.5	4311	101	887	3323	74	27	824	63	1999	1324	7.103	26.73	39.84	32.8	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	9ce13d14-5107-41a0-a50a-ef4a28aec414	Tumor	Image	Rectangle	12556.1	20637.3	4874	750	734	3390	481	269	691	43	2269	1121	5.858	35.87	33.07	29.4	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	03edc369-d764-45fd-b3c6-af4fea1ed80a	Tumor	Image	Rectangle	10351.5	18965.1	5433	774	655	4004	546	228	598	57	2841	1163	8.702	29.46	29.05	26.65	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	ec6ca9ad-5eba-4f6b-b46e-86123e98f2d5	Tumor	Image	Rectangle	9946	12072.9	5253	247	980	4026	226	21	931	49	3564	462	5	8.502	11.48	10.13	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	2b833a9c-c4a9-4308-b4c2-841f7b58e368	Tumor	Image	Rectangle	10148.8	16228.6	4698	357	983	3358	261	96	912	71	2782	576	7.223	26.89	17.15	15.82	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	11801e5f-aa63-40aa-acba-5f26d2424b3a	Tumor	Image	Rectangle	8555.7	14148.2	5366	573	891	3902	545	28	821	70	3427	475	7.856	4.887	12.17	10.68	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumor	1f3df71b-2142-4810-a40d-85f42310d074	Tumor	Image	Rectangle	13440	9978.1	5301	205	870	4226	168	37	783	87	3115	1111	10	18.05	26.29	23.3	1e+06	4000	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Stroma	d027c23c-fd94-4687-93f0-574a02557f23	Stroma	Image	Polygon	23347	14636	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	296.92	63.05	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Stroma	e4c7b8be-1c50-432b-b291-f232ce0614ce	Stroma	Image	Polygon	22178.2	18708.8	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	41.08	24.31	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumour_cells	1d79ced2-2ec7-48cf-aefa-6910d5e72f0e	Tumour_cells	Image	Polygon	9955.6	12404.9	3	0	0	3	0	0	0	0	3	0	NA	NA	0	0	565.6	85.7	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumour_cells	8c0aa334-c0e7-4ef7-b7c6-620b861adb5d	Tumour_cells	Image	Polygon	10015.2	12198.1	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	450.76	76.23	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumour_cells	db98ff5e-9b3d-4e1e-bd71-c9694b63d1f4	Tumour_cells	Image	Polygon	9829.6	12125.2	5	0	0	5	0	0	0	0	5	0	NA	NA	0	0	622.63	90.28	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumour_cells	bde1e781-9886-41bf-8ec6-947e011281b4	Tumour_cells	Image	Polygon	9668.3	12565.6	3	0	0	3	0	0	0	0	3	0	NA	NA	0	0	258.8	65.76	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Stroma	1303a2e9-1494-4e90-8d9c-a5ba30767351	Stroma	Image	Polygon	22052.8	18401.3	2	0	2	0	0	0	1	1	0	0	50	NA	NA	50	291.61	61.85	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Stroma	3ec3dc0b-abaa-47cc-9e50-d0d5dff6bda8	Stroma	Image	Polygon	22050.5	18368	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	178.82	51.23	BA012
holstf_HF007_BA012_Ki67_Clinical.tif - Series 0	Tumour_cells	55524b4c-b851-400e-9749-2faa82873289	Tumour_cells	Image	Polygon	22699.1	18283.1	1	0	0	1	0	0	0	0	0	1	NA	NA	100	100	65.41	30.25	BA012
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	92551b9e-15b6-480b-98ff-de620cfc5434	Tumor	Image	Rectangle	5323.9	28205.2	4374	311	1261	2802	214	97	1202	59	2112	690	4.679	31.19	24.63	19.34	1e+06	4000	BA014
