Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	Tumor_Sample_Barcode	Recalibrated
HF004_ET001_D01.recal	HF004_ET001_D01.recal.bam	368962290	368779018	13311302257	13310086561	17343.1447	88	57.3559	0.0027	363.3952	99.9503277150627	HF004_ET001_D01	Yes
HF004_ET001_D01_1	HF004_ET001_D01_1.bam	146250482	146139968	9505285932	9504411661	15392.9406	92	57.4682	0.0031	259.4919	99.924435120836	HF004_ET001_D01	No
HF004_ET001_D01_2	HF004_ET001_D01_2.bam	135983214	135893544	8811932222	8811115275	15021.8892	91	57.4742	0.003	240.5635	99.9340580374869	HF004_ET001_D01	No
HF004_ET001_D01_3	HF004_ET001_D01_3.bam	89716954	89658639	5829189306	5828651924	15517.2384	92	57.4981	0.0031	159.1354	99.9350011370203	HF004_ET001_D01	No
HF004_RN001_D01.recal	HF004_RN001_D01.recal.bam	211452570	211328454	7843534304	7842842079	8770.6624	83	57.4409	0.0024	214.1265	99.9413031489757	HF004_RN001_D01	Yes
HF004_RN001_D01_1	HF004_RN001_D01_1.bam	82993154	82918788	5300484696	5300009729	7760.5341	87	57.5527	0.0028	144.7019	99.910395018847	HF004_RN001_D01	No
HF004_RN001_D01_2	HF004_RN001_D01_2.bam	78510156	78448895	4993625665	4993176671	7490.6551	86	57.5551	0.0027	136.3247	99.9219706046693	HF004_RN001_D01	No
HF004_RN001_D01_3	HF004_RN001_D01_3.bam	51439686	51398532	3284268336	3283968983	7674.8232	87	57.5788	0.0028	89.6597	99.9199956236125	HF004_RN001_D01	No
HF006_ET001_D01.recal	HF006_ET001_D01.recal.bam	632577546	632231466	25288693537	25286396504	14548.1263	93	57.3376	0.0028	690.3749	99.9452905019806	HF006_ET001_D01	Yes
HF006_ET001_D01_1	HF006_ET001_D01_1.bam	249331968	249090419	16289272934	16287767153	12290.2226	94	57.4327	0.0031	444.693	99.9031215283232	HF006_ET001_D01	No
HF006_ET001_D01_2	HF006_ET001_D01_2.bam	234345596	234151374	15282132077	15280711242	11744.628	94	57.4397	0.003	417.1983	99.9171215489793	HF006_ET001_D01	No
HF006_ET001_D01_3	HF006_ET001_D01_3.bam	153842888	153715898	10054170280	10053230055	12421.9072	94	57.4726	0.0031	274.4763	99.9174547477294	HF006_ET001_D01	No
HF006_RN001_D01.recal	HF006_RN001_D01.recal.bam	333629831	333413609	11655500661	11654513066	11385.6166	79	57.3369	0.0022	318.1922	99.9351910471099	HF006_RN001_D01	Yes
HF006_RN001_D01_1	HF006_RN001_D01_1.bam	131375246	131228064	8132870391	8132162609	9358.0447	81	57.4592	0.0026	222.0253	99.8879682402269	HF006_RN001_D01	No
HF006_RN001_D01_2	HF006_RN001_D01_2.bam	124439198	124320107	7679051704	7678379386	8844.6328	81	57.465	0.0025	209.6362	99.9042978402995	HF006_RN001_D01	No
HF006_RN001_D01_3	HF006_RN001_D01_3.bam	80086544	80006222	4958863796	4958429727	9418.3937	81	57.4947	0.0026	135.3757	99.8997059980513	HF006_RN001_D01	No
HF007_ET001_D02.recal	HF007_ET001_D02.recal.bam	174665770	174586063	9425535510	9424579379	12152.2412	94	57.4878	0.0024	257.2987	99.9543659871078	HF007_ET001_D02	Yes
