gene	NCT	ct_total	ct_suspended	ct_recruiting	ct_active_not_recruiting	ct_withdrawn	ct_completed	ct_unknown_status	ct_not_yet_recruiting	ct_terminated_recruitment	early_phase_1	phase_1	phase_2	phase_3	phase_4
ACVR1B	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
AKT1	NCT04053322,NCT03805399,NCT03698383,NCT03310541,NCT02506556,NCT01226316	6	NA	3	2	NA	NA	1	NA	NA	NA	3	4	NA	NA
AKT2	NCT03805399,NCT03698383,NCT03310541,NCT02506556,NCT01226316	5	NA	2	2	NA	NA	1	NA	NA	NA	3	3	NA	NA
AKT3	NCT03805399,NCT03698383,NCT03310541,NCT02506556,NCT01226316	5	NA	2	2	NA	NA	1	NA	NA	NA	3	3	NA	NA
APC	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
APH1A	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
ARID1A	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
ASXL1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
ATM	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02693535,NCT02660034,NCT02576665,NCT02505048,NCT02401347,NCT01646034	20	NA	14	1	1	3	NA	NA	1	NA	8	13	2	NA
ATR	NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02576665,NCT02505048,NCT02401347,NCT01646034	17	NA	12	NA	1	3	NA	NA	1	NA	7	10	2	NA
ATRX	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
BACH1	NCT04692662	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
BARD1	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	19	NA	14	1	1	3	NA	NA	NA	NA	7	13	2	NA
BLM	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
BRCA1	NCT04692662,NCT04673448,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT04041128,NCT03805399,NCT03742895,NCT03685331,NCT03415659,NCT03329937,NCT03188965,NCT03150810,NCT03025035,NCT02950064,NCT02849496,NCT02810743	31	NA	20	4	1	4	1	NA	1	1	14	18	2	NA
BRCA2	NCT04692662,NCT04673448,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT04041128,NCT03805399,NCT03742895,NCT03685331,NCT03415659,NCT03329937,NCT03188965,NCT03150810,NCT03025035,NCT02950064,NCT02849496,NCT02810743	31	NA	20	4	1	4	1	NA	1	1	14	18	2	NA
BRIP1	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	19	NA	14	1	1	3	NA	NA	NA	NA	7	13	2	NA
C11orf30	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
CDK12	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02576665,NCT02505048,NCT02401347,NCT01646034	19	NA	13	1	1	3	NA	NA	1	NA	8	12	2	NA
CDK4	NCT02187783	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA
CDK6	NCT02187783	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA
CDKN1A	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
CDKN1B	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
CDKN2A	NCT02693535,NCT02576665,NCT02187783	3	NA	1	NA	NA	1	NA	NA	1	NA	1	2	NA	NA
CHD4	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
CHEK1	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	18	NA	13	1	1	3	NA	NA	NA	NA	7	12	2	NA
CHEK2	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	18	NA	13	1	1	3	NA	NA	NA	NA	7	12	2	NA
CRKL	NCT03805399,NCT03698383,NCT02506556,NCT01226316	4	NA	2	1	NA	NA	1	NA	NA	NA	2	3	NA	NA
CSF1R	NCT02693535	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
CYLD	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
DICER1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
DLL4	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
DNMT3A	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
EGFR	NCT02544997	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA
ERBB2	NCT04579380,NCT03410927,NCT02544997,NCT02152943,NCT02014909,NCT01953926,NCT01670877	7	NA	2	2	NA	3	NA	NA	NA	NA	3	5	NA	NA
ERBB3	NCT03410927,NCT02693535,NCT02576665	3	NA	1	1	NA	NA	NA	NA	1	NA	2	2	NA	NA
ERCC2	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
ERCC3	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
ERCC4	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
ERCC5	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
ERCC6	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
ESR1	NCT04256941,NCT04174352,NCT04053322,NCT03879174,NCT01823835	5	NA	3	NA	NA	NA	NA	1	1	1	1	4	NA	NA
EZH2	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
FAN1	NCT04053322	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
FANCA	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	18	NA	14	NA	1	3	NA	NA	NA	NA	6	12	2	NA
FANCB	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCC	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCD2	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCE	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCF	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCG	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCI	NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	16	NA	12	NA	1	3	NA	NA	NA	NA	6	10	2	NA
