new_column	ID	ParentID	second_parent	third_parent	fourth_parent	fifth_parent	sixth_parent	seventh_parent	drivers_ID	uniq_subclones_per_driver	drivers_CCF_true
237_0_0_0_0_0_0_0	237	0	0	0	0	0	0	0	5	4	1
1015_237_0_0_0_0_0_0	1015	237	0	0	0	0	0	0	6	5	1.10422587241373e-05
1048_237_0_0_0_0_0_0	1048	237	0	0	0	0	0	0	6	5	3.01152510658289e-06
1049_237_0_0_0_0_0_0	1049	237	0	0	0	0	0	0	6	5	4.01536680877719e-06
1058_237_0_0_0_0_0_0	1058	237	0	0	0	0	0	0	6	5	2.0076834043886e-06
1065_237_0_0_0_0_0_0	1065	237	0	0	0	0	0	0	6	5	1.0038417021943e-06
1073_237_0_0_0_0_0_0	1073	237	0	0	0	0	0	0	6	5	0.000184706873203751
1080_237_0_0_0_0_0_0	1080	237	0	0	0	0	0	0	6	5	1.0038417021943e-06
1087_237_0_0_0_0_0_0	1087	237	0	0	0	0	0	0	6	5	6.02305021316579e-06
1121_237_0_0_0_0_0_0	1121	237	0	0	0	0	0	0	6	5	0.000209802915758608
1149_237_0_0_0_0_0_0	1149	237	0	0	0	0	0	0	6	5	0.00190830307587136
10971_1149_237_0_0_0_0_0	10971	1149	237	0	0	0	0	0	7	2	2.0076834043886e-06
12462_1149_237_0_0_0_0_0	12462	1149	237	0	0	0	0	0	7	2	0.00127086359497798
1169_237_0_0_0_0_0_0	1169	237	0	0	0	0	0	0	6	5	1.0038417021943e-05
1233_237_0_0_0_0_0_0	1233	237	0	0	0	0	0	0	6	5	5.21997685141035e-05
1255_237_0_0_0_0_0_0	1255	237	0	0	0	0	0	0	6	5	1.0038417021943e-06
1282_237_0_0_0_0_0_0	1282	237	0	0	0	0	0	0	6	5	7.02689191536008e-06
1302_237_0_0_0_0_0_0	1302	237	0	0	0	0	0	0	6	5	0.000112430270645761
8875_1302_237_0_0_0_0_0	8875	1302	237	0	0	0	0	0	7	2	2.0076834043886e-06
1303_237_0_0_0_0_0_0	1303	237	0	0	0	0	0	0	6	5	2.0076834043886e-06
1314_237_0_0_0_0_0_0	1314	237	0	0	0	0	0	0	6	5	3.01152510658289e-06
1347_237_0_0_0_0_0_0	1347	237	0	0	0	0	0	0	6	5	3.01152510658289e-06
1357_237_0_0_0_0_0_0	1357	237	0	0	0	0	0	0	6	5	0.0149321453201402
10279_1357_237_0_0_0_0_0	10279	1357	237	0	0	0	0	0	7	2	9.03457531974868e-06
10917_1357_237_0_0_0_0_0	10917	1357	237	0	0	0	0	0	7	2	2.0076834043886e-06
11400_1357_237_0_0_0_0_0	11400	1357	237	0	0	0	0	0	7	2	0.000529024577056395
12086_1357_237_0_0_0_0_0	12086	1357	237	0	0	0	0	0	7	2	3.41306178746061e-05
12906_1357_237_0_0_0_0_0	12906	1357	237	0	0	0	0	0	7	2	2.0076834043886e-06
13540_1357_237_0_0_0_0_0	13540	1357	237	0	0	0	0	0	7	2	0.00101086859410966
13582_1357_237_0_0_0_0_0	13582	1357	237	0	0	0	0	0	7	2	1.10422587241373e-05
17208_1357_237_0_0_0_0_0	17208	1357	237	0	0	0	0	0	7	2	1.0038417021943e-06
18796_1357_237_0_0_0_0_0	18796	1357	237	0	0	0	0	0	7	2	2.0076834043886e-06
4704_1357_237_0_0_0_0_0	4704	1357	237	0	0	0	0	0	7	2	1.10422587241373e-05
4879_1357_237_0_0_0_0_0	4879	1357	237	0	0	0	0	0	7	2	1.0038417021943e-06
5419_1357_237_0_0_0_0_0	5419	1357	237	0	0	0	0	0	7	2	2.20845174482745e-05
5750_1357_237_0_0_0_0_0	5750	1357	237	0	0	0	0	0	7	2	4.01536680877719e-06
6159_1357_237_0_0_0_0_0	6159	1357	237	0	0	0	0	0	7	2	1.0038417021943e-06
6339_1357_237_0_0_0_0_0	6339	1357	237	0	0	0	0	0	7	2	2.0076834043886e-06
7351_1357_237_0_0_0_0_0	7351	1357	237	0	0	0	0	0	7	2	4.01536680877719e-06
7543_1357_237_0_0_0_0_0	7543	1357	237	0	0	0	0	0	7	2	0.0016553349669184
16293_7543_1357_237_0_0_0_0	16293	7543	1357	237	0	0	0	0	8	2	0.000308179402573649
7639_1357_237_0_0_0_0_0	7639	1357	237	0	0	0	0	0	7	2	1.10422587241373e-05
7640_1357_237_0_0_0_0_0	7640	1357	237	0	0	0	0	0	7	2	9.03457531974868e-06
7680_1357_237_0_0_0_0_0	7680	1357	237	0	0	0	0	0	7	2	3.01152510658289e-06
7791_1357_237_0_0_0_0_0	7791	1357	237	0	0	0	0	0	7	2	1.0038417021943e-06
7980_1357_237_0_0_0_0_0	7980	1357	237	0	0	0	0	0	7	2	5.01920851097149e-06
