ID	ParentID	Distance	Alive	Necrotic	Lost	Drivers	Passengers	Fitness	CCF	clone_order	Alive_cells_all_descendents	driver_CCF
237	0	4	296	100116185	15214756	5	0	7.58340336539718	0.9989	first	996173	1
421	237	1	698	50638584	6987060	6	0	8.27181872607125	0.0715	second	71357	0.0716311323434785
477	237	1	429	31997915	4438252	6	0	8.22779847153352	0.0025	second	2515	0.00252466188101866
504	237	1	2000	61692765	7938301	6	0	8.82673381341769	0.0404	second	40289	0.0404437783397061
513	237	1	2341	61921045	7861497	6	0	8.93884867921023	0.0182	second	18201	0.0182709228216384
534	237	1	622	25212894	3342171	6	0	8.5896323776386	6e-04	second	636	0.000638443322595573
539	237	1	103	10644418	1515914	6	0	8.04432285628923	1e-04	second	132	0.000132507104689647
552	237	1	86	10165324	1459529	6	0	7.98419817289248	6e-04	second	563	0.00056516287833539
554	237	1	71	4296014	587611	6	0	8.32564987733003	1e-04	second	72	7.22766025579894e-05
565	237	1	979	40292561	5341920	6	0	8.59146693764929	0.0267	second	26670	0.0267724581975219
591	237	1	11	1029775	146304	6	0	8.02728622674952	0	second	14	1.40537838307202e-05
606	237	1	4204	67670391	8190267	6	0	9.38139008244855	0.0538	second	53621	0.0538269959133604
639	237	1	2939	41460777	4995693	6	0	9.43161884171739	0.0032	second	3222	0.00323437796447003
651	237	1	99	5150940	697530	6	0	8.42251911112333	1e-04	second	106	0.000106407220432596
683	237	1	14364	116837344	12832863	6	0	10.3609428746497	0.7208	second	718755	0.721516242660662
763	237	1	383	6173050	756131	6	0	9.27475002137641	4e-04	second	393	0.000394509788962359
779	237	1	7635	50070476	5505498	6	0	10.4068728631046	0.0103	second	10251	0.0102903812891937
804	237	1	8697	57845361	6344197	6	0	10.424415679377	0.0133	second	13230	0.0132808257200306
847	237	1	114	2044370	252763	6	0	9.15597673025637	1e-04	second	139	0.000139533996605007
864	237	1	1473	12235154	1409264	6	0	9.93777388215521	0.0015	second	1518	0.00152383170393094
905	237	1	5268	30028823	3290919	6	0	10.4806305035931	0.011	second	10937	0.010979016696899
918	237	1	636	5385168	620187	6	0	9.90026844612618	7e-04	second	658	0.000660527840043848
924	237	1	158	2493799	304788	6	0	9.31104626600298	2e-04	second	161	0.000161618514053282
939	237	1	106	1204622	141930	6	0	9.61469957827347	0.0016	second	1570	0.00157603147244505
943	237	1	44	834136	103777	6	0	9.15975606715282	0.0014	second	1410	0.00141541680009396
957	237	1	77	934664	111081	6	0	9.550127606304	1e-04	second	78	7.82996527711552e-05
1149	237	1	633	3147300	343506	6	0	10.5911024730697	0.0019	second	1901	0.00190830307587136
1302	237	1	110	688168	76334	6	0	10.253000613663	1e-04	second	112	0.000112430270645761
1357	237	1	11549	32899587	3230509	6	0	11.9982575979106	0.0149	second	14875	0.0149321453201402
1037	943	1	1363	5271121	559318	7	0	10.9691882683356	0.0014	third	1366	0.00137124776519741
1103	504	1	19610	47373340	4322980	7	0	12.9883875655976	0.0321	third	31985	0.0321078768446846
1110	513	1	51	455153	52857	7	0	9.87365557469687	0.0067	third	6715	0.00674079703023471
1113	477	1	2001	12145252	1353839	7	0	10.3053662698557	0.0021	third	2064	0.00207192927332903
1203	421	1	6973	15857376	1558094	7	0	12.1936060231923	0.007	third	6981	0.00700781892301839
