ID,ParentID,Distance,Alive,Necrotic,Lost,Drivers,Passengers,Fitness,CCF
0,0,0,0,73185,388968,1,0,1.1864400552353254,0.9989
237,0,4,67089,100116185,15214756,5,0,7.583403365397181,0.9989
421,237,1,158387,50638584,6987060,6,0,8.27181872607125,0.0715
477,237,1,97435,31997915,4438252,6,0,8.227798471533518,0.0025
504,237,1,453914,61692765,7938301,6,0,8.826733813417688,0.0404
506,237,1,9919,6554523,959199,6,0,7.864141901916165,0.0000
513,237,1,531350,61921045,7861497,6,0,8.938848679210226,0.0182
534,237,1,141165,25212894,3342171,6,0,8.589632377638596,0.0006
536,237,1,3131,1770794,254457,6,0,7.9440438758681795,0.0000
539,237,1,23356,10644418,1515914,6,0,8.044322856289225,0.0001
552,237,1,19476,10165324,1459529,6,0,7.98419817289248,0.0006
554,237,1,16199,4296014,587611,6,0,8.325649877330031,0.0001
559,237,1,3283,1945935,281493,6,0,7.923271744387147,0.0000
565,237,1,222238,40292561,5341920,6,0,8.591466937649288,0.0267
588,237,1,828,562931,83230,6,0,7.769479048671784,0.0000
591,237,1,2400,1029775,146304,6,0,8.027286226749519,0.0000
594,237,1,6256,3094360,442245,6,0,8.007526369422704,0.0000
606,237,1,954357,67670391,8190267,6,0,9.38139008244855,0.0538
607,237,1,2116,603290,83359,6,0,8.272684485838491,0.0000
611,237,1,2916,437110,57231,6,0,8.674305467403721,0.0000
629,237,1,1868,874356,124399,6,0,8.05154432391677,0.0000
635,237,1,1877,281478,36521,6,0,8.706938128139727,0.0000
636,237,1,1353,571984,81527,6,0,8.071763593806288,0.0000
639,237,1,667058,41460777,4995693,6,0,9.431618841717395,0.0032
643,237,1,4459,910155,121763,6,0,8.491793757897067,0.0000
649,237,1,2111,590106,81545,6,0,8.3339072722739,0.0000
651,237,1,22450,5150940,697530,6,0,8.422519111123325,0.0001
653,237,1,7744,2442093,338322,6,0,8.267414005889833,0.0000
681,237,1,701,388892,56409,6,0,7.892216201285944,0.0000
683,237,1,3260733,116837344,12832863,6,0,10.360942874649675,0.7208
684,237,1,368,154338,21902,6,0,8.124414006445692,0.0000
685,237,1,1654,635316,89756,6,0,8.105325439204627,0.0000
707,237,1,250,138134,19981,6,0,7.894487469835768,0.0000
722,237,1,549,215893,30505,6,0,8.079583550625653,0.0000
728,237,1,1134,409773,57248,6,0,8.115148006931765,0.0000
734,237,1,999,257335,34985,6,0,8.356131433408189,0.0000
748,237,1,3741,581987,76703,6,0,8.66283536444948,0.0000
749,237,1,13685,1953940,252346,6,0,8.751841066598148,0.0001
763,237,1,86967,6173050,756131,6,0,9.274750021376414,0.0004
779,237,1,1733189,50070476,5505498,6,0,10.406872863104626,0.0103
785,237,1,6275,507081,62617,6,0,9.18261691348203,0.0000
794,477,1,514,48949,6387,7,0,9.061618118797458,0.0000
800,237,1,5496,672383,86450,6,0,8.785660114242845,0.0000
803,237,1,68384,5757681,716143,6,0,9.135535019771556,0.0003
804,237,1,1974208,57845361,6344197,6,0,10.424415679377015,0.0133
826,237,1,321,55056,7396,6,0,8.444656758132604,0.0000
834,237,1,355,52635,6839,6,0,8.765963698284061,0.0000
836,237,1,810,122946,16206,6,0,8.724800881849198,0.0000
847,237,1,25925,2044370,252763,6,0,9.155976730256373,0.0001
850,237,1,11192,1201158,152782,6,0,8.951063029340558,0.0000
851,237,1,1268,259178,34958,6,0,8.48334656095323,0.0000
864,237,1,334364,12235154,1409264,6,0,9.937773882155206,0.0015
900,237,1,21923,1437759,174873,6,0,9.355043402534871,0.0001
905,237,1,1195885,30028823,3290919,6,0,10.480630503593098,0.0110
906,237,1,284,26513,3316,6,0,9.00516781373919,0.0000
918,237,1,144482,5385168,620187,6,0,9.900268446126182,0.0007
924,237,1,35877,2493799,304788,6,0,9.311046266002977,0.0002
939,237,1,24110,1204622,141930,6,0,9.614699578273472,0.0016
943,237,1,10002,834136,103777,6,0,9.159756067152818,0.0014
944,237,1,7863,493195,59965,6,0,9.359694785976702,0.0000
957,237,1,17502,934664,111081,6,0,9.550127606304,0.0001
982,237,1,655,53690,6647,6,0,9.139781164943123,0.0000
1015,237,1,2555,192403,23755,6,0,9.213616438125346,0.0000
1024,421,1,1108,57327,6754,7,0,9.623260817202688,0.0000
1037,943,1,309316,5271121,559318,7,0,10.969188268335628,0.0014
1048,237,1,742,105345,13433,6,0,8.82580755230539,0.0000
1049,237,1,1012,87170,10927,6,0,9.057347132141985,0.0000
1058,237,1,427,27077,3317,6,0,9.216012492335599,0.0000
