rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1902	63	0	0	13	2	0	3	18	17	16	1.000000e-16	1.213125e-01	2.000000e-04	1.000000e-16	1.886200e-12
2	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	15	1	1	0	5	0	10	15	15	15	2.188219e-16	1	9.900000e-01	8.104628e-15	7.643475e-11
3	GATA3	GATA binding protein 3	1351	3	0	0	1	1	0	7	9	9	7	1.243209e-10	3.500000e-03	5.949000e-01	1.211165e-11	7.614995e-08
4	MYEOV	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)	950	138	0	0	7	0	0	0	7	6	2	1.009094e-06	1.000000e-05	1	2.655873e-10	1.252377e-06
5	CBFB	core-binding factor, beta subunit	615	45	0	0	2	2	0	4	8	7	8	2.359993e-09	1	9.240000e-01	4.924033e-08	1.857542e-04
6	PTH2	parathyroid hormone 2	311	16	0	0	4	0	0	0	4	4	1	2.481467e-06	1.650000e-03	1.240000e-01	7.355597e-08	2.312355e-04
7	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	11	0	1	29	0	0	1	30	26	13	8.593428e-04	1.000000e-05	1.293000e-02	1.681929e-07	4.532077e-04
8	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	17	0	0	2	2	0	2	6	6	6	1.555351e-07	1	5.710000e-01	2.593764e-06	6.115448e-03
9	RELL1	RELT-like 1	988	3	0	0	0	1	0	1	2	2	2	7.891316e-04	1.000000e-02	6.824000e-01	1.006123e-04	2.098061e-01
10	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	1520	10	0	1	2	0	0	4	6	4	6	1.491430e-04	1	3.100000e-02	1.112321e-04	2.098061e-01
11	BTBD7	BTB (POZ) domain containing 7	3508	8	0	0	0	1	0	2	3	3	3	4.455036e-05	1	1.990000e-01	1.523234e-04	2.611931e-01
12	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	14968	8	0	2	7	4	0	4	15	12	15	8.834087e-04	3.600000e-02	2.460000e-01	1.818113e-04	2.857504e-01
13	ITPRIPL1	inositol 1,4,5-trisphosphate receptor interacting protein-like 1	1710	7	0	0	3	0	0	0	3	3	2	4.312086e-03	1.130000e-02	2.713000e-01	1.969439e-04	2.857504e-01
14	AMOT	angiomotin	3295	26	0	0	3	0	0	0	3	3	2	5.223402e-03	8.000000e-03	1.074000e-01	2.460445e-04	3.314923e-01
15	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	7658	10	0	0	5	0	0	0	5	5	5	2.878662e-05	1	5.040000e-01	3.297680e-04	4.146722e-01
16	PHF20	PHD finger protein 20	3107	22	0	0	3	0	0	0	3	3	2	7.804663e-03	8.000000e-03	4.978000e-01	4.824291e-04	5.687236e-01
17	PTPN7	protein tyrosine phosphatase, non-receptor type 7	1232	174	0	0	4	0	0	0	4	4	3	2.696107e-04	1	2.100000e-01	6.313502e-04	6.253908e-01
18	MMEL1	membrane metallo-endopeptidase-like 1	2434	6	0	0	3	0	0	0	3	3	2	8.078384e-03	6.800000e-03	8.560000e-01	6.332697e-04	6.253908e-01
19	KCNK9	potassium channel, subfamily K, member 9	1133	20	0	0	2	0	1	0	3	3	3	6.581881e-05	1	4.250000e-01	6.995621e-04	6.253908e-01
20	C1orf116	chromosome 1 open reading frame 116	1818	28	0	0	5	0	0	0	5	5	5	6.785409e-05	1	9.650000e-01	7.191279e-04	6.253908e-01
21	LSM14A	LSM14A, SCD6 homolog A (S. cerevisiae)	1458	63	0	0	1	0	1	0	2	2	2	7.201496e-04	NaN	NaN	7.201496e-04	6.253908e-01
22	SLC22A4	solute carrier family 22 (organic cation/ergothioneine transporter), member 4	1692	3	0	0	1	1	0	1	3	3	3	4.078628e-04	1	1.270000e-01	7.294347e-04	6.253908e-01
23	FOXA1	forkhead box A1	1423	25	0	0	4	0	0	1	5	5	5	7.775320e-05	1	6.440000e-01	8.134517e-04	6.671011e-01
24	NUP85	nucleoporin 85kDa	2045	41	0	0	0	2	1	0	3	3	3	9.023151e-05	1	9.930000e-01	9.305695e-04	7.313501e-01
25	SETDB1	SET domain, bifurcated 1	3960	3	0	0	5	1	0	0	6	5	4	1.453776e-02	7.800000e-03	9.044000e-01	1.183081e-03	8.650249e-01
26	PPIB	peptidylprolyl isomerase B (cyclophilin B)	667	86	0	0	3	0	0	0	3	3	3	9.579361e-04	1	8.300000e-02	1.192379e-03	8.650249e-01
27	GLUD2	glutamate dehydrogenase 2	1679	11	0	0	3	1	0	0	4	4	4	1.324442e-04	1	6.510000e-01	1.315084e-03	9.187083e-01
28	TMEM186	transmembrane protein 186	693	187	0	0	2	1	0	0	3	3	3	4.214991e-04	1	2.400000e-01	1.378048e-03	9.283119e-01
29	NCKAP1L	NCK-associated protein 1-like	3506	44	0	0	1	2	0	0	3	3	3	1.563977e-04	1	4.800000e-01	1.526927e-03	9.931347e-01
30	C6orf165	chromosome 6 open reading frame 165	1917	75	0	0	2	1	0	0	3	3	3	1.845637e-04	1	7.000000e-01	1.771353e-03	1
31	PPFIA1	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1	3721	30	0	0	4	0	0	0	4	4	4	5.488678e-04	1	3.500000e-01	1.901632e-03	1
32	RNF149	ring finger protein 149	1227	22	1	0	2	0	0	0	2	2	1	2.096531e-02	1.000000e-02	7.967000e-01	1.985426e-03	1
33	VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	13443	4	0	0	4	1	0	0	5	5	5	8.968722e-02	2.300000e-03	9.912000e-01	2.032753e-03	1
34	SERPINA10	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10	1351	9	0	0	1	1	0	0	2	2	2	6.981111e-04	1	2.790000e-01	2.095515e-03	1
35	ATM	ataxia telangiectasia mutated	9441	6	0	0	3	1	0	1	5	5	5	1.791886e-03	1	1.170000e-01	2.211413e-03	1
36	HS1BP3	HCLS1 binding protein 3	1205	19	0	0	2	0	0	0	2	2	1	2.957863e-02	1.000000e-02	3.306667e-02	2.699308e-03	1
37	CHERP	calcium homeostasis endoplasmic reticulum protein	2821	14	0	0	4	0	0	0	4	4	4	3.374466e-03	1	7.600000e-02	2.818113e-03	1
38	PIAS4	protein inhibitor of activated STAT, 4	1575	46	0	0	3	1	0	0	4	4	4	9.901729e-04	1	1.900000e-01	2.877756e-03	1
39	RPL9	ribosomal protein L9	828	94	0	0	0	1	1	0	2	2	2	3.001828e-03	NaN	NaN	3.001828e-03	1
40	KIAA0649	KIAA0649	3634	48	0	0	4	0	0	1	5	5	5	3.590402e-04	1	9.170000e-01	3.206975e-03	1
41	HECTD1	HECT domain containing 1	8001	18	0	0	5	0	0	0	5	4	4	1.316784e-01	3.000000e-03	9.273000e-01	3.490742e-03	1
42	SH3BP4	SH3-domain binding protein 4	2904	27	0	0	5	0	0	0	5	5	5	6.381845e-03	1	3.100000e-02	3.744504e-03	1
43	CA4	carbonic anhydrase IV	969	76	0	0	2	0	0	0	2	2	1	6.824926e-03	6.200000e-02	9.990000e-01	3.815863e-03	1
44	ZNF397OS	zinc finger protein 397 opposite strand	1528	7	0	0	0	0	1	0	1	1	1	4.068348e-03	NaN	NaN	4.068348e-03	1
