Chromosome	Start	End
chr1	2008676	2008796
chr1	4010094	4010214
chr1	4010683	4010803
chr1	6009236	6009356
chr1	6009798	6009918
chr1	6011541	6011661
chr1	8008306	8008426
chr1	8009703	8009823
chr1	11167489	11167609
chr1	11168230	11168350
chr1	11169326	11169446
chr1	11169686	11169806
chr1	11172881	11173001
chr1	11174374	11174510
chr1	11174846	11174966
chr1	11175428	11175548
chr1	11177042	11177162
chr1	11181304	11181424
chr1	11182035	11182183
chr1	11184554	11184690
chr1	11186678	11186853
chr1	11187066	11187201
chr1	11187680	11187863
chr1	11188062	11188182
chr1	11188500	11188620
chr1	11188900	11189020
chr1	11189784	11189904
chr1	11190585	11190705
chr1	11190714	11190834
chr1	11193135	11193255
chr1	11194405	11194525
chr1	11199360	11199492
chr1	11199592	11199712
chr1	11204698	11204818
chr1	11205003	11205123
chr1	11206730	11206850
chr1	11210172	11210292
chr1	11217208	11217348
chr1	11227476	11227596
chr1	11259314	11259460
chr1	11259597	11259760
chr1	11264617	11264760
chr1	11269368	11269515
chr1	11270856	11270976
chr1	11272368	11272531
chr1	11272848	11272968
chr1	11273455	11273623
chr1	11276188	11276308
chr1	11288724	11288844
chr1	11288855	11288975
chr1	11290986	11291106
chr1	11291356	11291491
chr1	11292478	11292598
chr1	11293439	11293559
chr1	11294200	11294320
chr1	11297899	11298105
chr1	11298458	11298674
chr1	11300359	11300479
chr1	11300484	11300604
chr1	11301614	11301734
chr1	11303170	11303357
chr1	11307676	11307796
chr1	11307875	11308151
chr1	11313895	11314030
chr1	11316048	11316249
chr1	11316989	11317222
chr1	11318536	11318656
chr1	11319304	11319466
chr1	12009895	12010015
chr1	12010718	12010838
chr1	14008674	14008794
chr1	14009663	14009783
chr1	16009775	16009895
chr1	18010151	18010271
chr1	20008820	20008940
chr1	20010191	20010311
chr1	20142806	20142926
chr1	20171800	20171920
chr1	24009484	24009604
chr1	26008599	26008719
chr1	26010278	26010398
chr1	26010551	26010671
chr1	27022894	27024031
chr1	27056141	27056354
chr1	27057642	27058095
chr1	27059164	27059284
chr1	27087346	27087587
chr1	27087859	27087979
chr1	27088642	27088810
chr1	27089463	27089776
chr1	27092711	27092857
chr1	27092942	27093062
chr1	27094280	27094490
chr1	27097609	27097817
chr1	27098990	27099123
chr1	27099302	27099478
chr1	27099836	27099987
chr1	27100070	27100208
chr1	27100280	27100400
chr1	27100819	27101711
chr1	27102072	27102192
chr1	27102289	27102409
chr1	27105513	27107247
chr1	28012220	28012340
chr1	29876422	29876542
chr1	30028053	30028173
chr1	32010085	32010205
chr1	32010239	32010359
chr1	34010151	34010271
chr1	34010393	34010513
chr1	36008053	36008173
chr1	36008600	36008720
chr1	38010591	38010811
chr1	42008944	42009064
chr1	44007312	44007432
chr1	44008973	44009093
chr1	44011677	44011797
chr1	44118846	44118984
chr1	44119282	44119402
chr1	44121261	44121437
chr1	44125966	44126086
chr1	44128564	44128758
chr1	44131331	44131451
chr1	44132114	44132234
chr1	44132624	44132762
chr1	44133442	44133562
chr1	44133570	44133690
chr1	44134770	44134970
chr1	44137175	44137295
chr1	44137300	44137420
chr1	44137426	44137546
chr1	44149354	44149474
chr1	44154584	44154766
chr1	44156515	44156720
chr1	44157144	44157264
chr1	44157894	44158014
chr1	44159658	44159778
chr1	44160379	44160565
chr1	44163513	44163684
chr1	44169287	44169407
chr1	44169676	44169796
chr1	44169900	44170041
chr1	46009758	46009878
chr1	46009886	46010006
chr1	46010592	46010712
chr1	48009626	48009746
chr1	48011276	48011396
chr1	50008708	50008828
chr1	52005764	52005884
chr1	54009219	54009339
chr1	54010005	54010125
chr1	54010866	54010986
chr1	56009745	56009865
chr1	56010936	56011056
chr1	58009189	58009309
chr1	58010215	58010335
chr1	60009066	60009186
chr1	60009630	60009750
chr1	60011280	60011400
chr1	64108711	64108831
chr1	67590401	67590521
chr1	67601072	67601192
chr1	67652950	67653070
chr1	67670153	67670273
chr1	67670856	67670976
chr1	67675456	67675576
chr1	67681609	67681729
chr1	67702466	67702586
chr1	67705898	67706018
chr1	67719069	67719189
chr1	67722507	67722627
chr1	67725060	67725180
chr1	67726044	67726164
chr1	67729995	67730115
chr1	67730568	67730688
chr1	68010033	68010153
chr1	68010552	68010672
chr1	70010265	70010385
chr1	70010732	70010852
chr1	72007738	72007858
chr1	72007911	72008031
chr1	72012781	72012901
chr1	72274413	72274533
chr1	76005934	76006054
chr1	80009525	80009645
chr1	80010467	80010587
chr1	80014293	80014413
chr1	82009364	82009484
chr1	82010386	82010506
chr1	85311132	85311252
chr1	86005763	86005883
chr1	86010188	86010308
chr1	86010997	86011117
chr1	90007256	90007376
chr1	90010328	90010448
chr1	90013084	90013204
chr1	92007920	92008040
chr1	92011407	92011527
chr1	94006341	94006461
chr1	94007862	94007982
chr1	96008641	96008761
chr1	96010211	96010331
chr1	96011244	96011364
chr1	98010176	98010296
chr1	100009609	100009729
chr1	100010705	100010825
chr1	102010042	102010162
chr1	106010110	106010230
chr1	106010342	106010462
chr1	108007524	108007644
chr1	108010579	108010699
chr1	110009597	110009717
chr1	110010050	110010170
chr1	110010229	110010349
chr1	114303748	114303868
chr1	114377508	114377628
chr1	115251155	115251275
chr1	115252189	115252349
chr1	115256420	115256599
chr1	115258666	115258786
chr1	116008115	116008235
chr1	116011841	116011961
chr1	116012139	116012259
chr1	117751305	117751425
chr1	118007249	118007369
chr1	118009534	118009654
chr1	120009416	120009536
chr1	120010429	120010549
chr1	120517899	120518019
chr1	144009850	144009970
chr1	144010209	144010329
chr1	147558610	147558730
chr1	147561558	147561678
chr1	152004744	152004864
chr1	152005422	152005542
chr1	152017584	152017704
chr1	152549958	152550078
chr1	156011384	156011504
chr1	156785566	156785686
chr1	156811868	156811988
chr1	156830726	156830938
chr1	156834122	156834242
chr1	156834495	156834615
chr1	156834848	156834968
chr1	156836676	156836796
chr1	156837895	156838041
chr1	156838296	156838439
chr1	156841414	156841547
chr1	156843424	156843751
chr1	156844123	156844243
chr1	156844330	156844450
chr1	156844688	156844808
chr1	156845311	156845458
chr1	156845862	156846002
chr1	156846191	156846364
chr1	156848913	156849154
chr1	156849790	156849949
chr1	156850183	156850303
chr1	156851248	156851434
chr1	157669218	157669338
chr1	158005214	158005334
chr1	159753123	159753243
chr1	160009061	160009181
chr1	160012346	160012466
chr1	160851986	160852106
chr1	162008019	162008139
chr1	162012090	162012210
